way,node,x,y
23808007,258012074,-0.1011326,51.5283837
23808007,703524145,-0.1013563,51.5283417
23808007,703524114,-0.10183,51.5282529
23808007,258012076,-0.1020753,51.5282069
23808007,703524094,-0.1019078,51.5278598
23808007,703524095,-0.1018871,51.5278197
23808007,258012077,-0.1018188,51.5276775
23808007,703524100,-0.1015811,51.527722
23808007,703524120,-0.1011057,51.5278112
23808007,258012078,-0.1008762,51.5278543
23808007,258012074,-0.1011326,51.5283837
56048906,703524103,-0.1017695,51.5276539
56048906,703524121,-0.1008839,51.5278253
56048910,703524098,-0.1019579,51.5278498
56048910,703524108,-0.1021444,51.5282204
56048914,703524096,-0.102005,51.5278404
56048914,703524098,-0.1019579,51.5278498
56048914,703524094,-0.1019078,51.5278598
56048914,703524095,-0.1018871,51.5278197
56048914,703524099,-0.1019371,51.5278097
56048914,703524092,-0.101986,51.5278001
56048914,703524096,-0.102005,51.5278404
56048902,703524112,-0.1017803,51.5281103
56048902,703524132,-0.1012752,51.5282048
56048902,703524124,-0.1011532,51.5279521
56048902,703524123,-0.1015304,51.5278816
56048902,703524107,-0.1015509,51.5279241
56048902,703524125,-0.1014184,51.5279489
56048902,703524141,-0.1013626,51.5280142
56048902,703524139,-0.1013976,51.5280866
56048902,703524134,-0.1014944,51.5281199
56048902,703524116,-0.1016132,51.5280977
56048902,703524110,-0.1016594,51.528052
56048902,703524111,-0.1017444,51.5280361
56048902,703524112,-0.1017803,51.5281103
56048923,703524099,-0.1019371,51.5278097
56048923,703524098,-0.1019579,51.5278498
56048924,703524121,-0.1008839,51.5278253
56048924,703524122,-0.1008508,51.5278333
56049218,703528107,-0.1017933,51.5276258
56049218,703528111,-0.1008431,51.5278112
56049222,703524073,-0.1022386,51.5277048
56049222,703528106,-0.1019156,51.5277648
56048905,703524129,-0.1007921,51.5278436
56048905,703524131,-0.1007778,51.5278161
56048905,703524104,-0.1017852,51.5276174
56048905,703524106,-0.1018544,51.5276369
56048905,703528106,-0.1019156,51.5277648
56048905,703524099,-0.1019371,51.5278097
160580407,1726343741,-0.1010513,51.527657
160580407,1726343742,-0.1009823,51.5276715
